TimeStep,Context,qd_norm,tau_actual_norm,tau_planned_norm,p_norm,r_norm,residual_raw,residual_clipped,EWMA_Fast,EWMA_Slow,EWMA_Delta,Threshold,Attack_Flag
0,0,0.52278,122.929,24.9999,0.0880865,57.5033,57.5033,57.5033,0,0,0,0,0
1,0,0.82048,122.929,25.0194,0.126531,84.0827,84.0827,84.0827,0,0,0,0,0
2,0,0.82048,122.929,25.0194,0.126531,100.998,100.998,100,0,0,0,0,0
3,0,0.687959,129.158,25.117,0.250323,111.473,111.473,100,0,0,0,0,0
4,0,3.20239,118.412,25.1365,0.30424,110.579,110.579,100,0,0,0,0,0
5,0,2.17326,164.554,25.1755,0.306546,125.962,125.962,100,0,0,0,0,0
6,0,3.06852,164.971,25.2146,0.312757,120.271,120.271,100,0,0,0,0,0
7,0,3.16666,164.346,25.2536,0.350466,122.07,122.07,100,0,0,0,0,0
8,0,3.14265,115.997,25.3513,0.396358,115.881,115.881,100,0,0,0,0,0
9,0,1.38403,163.191,25.3708,0.419402,133.516,133.516,100,0,0,0,0,0
10,0,3.12403,164.583,25.4489,0.43796,117.665,117.665,100,0,0,0,0,0
11,0,3.11831,166.981,25.5466,0.465492,136.313,136.313,100,0,0,0,0,0
12,0,3.159,151.425,25.5857,0.499886,115.899,115.899,100,0,0,0,0,0
13,0,3.15509,145.669,25.6443,0.510342,124.089,124.089,100,0,0,0,0,0
14,0,3.15244,121.753,25.703,0.539088,116.665,116.665,100,0,0,0,0,0
15,0,3.14127,169.815,25.7616,0.547284,136.953,136.953,100,0,0,0,0,0
16,0,3.1727,153.667,25.8007,0.56389,121.258,121.258,100,0,0,0,0,0
17,0,3.17855,166.174,25.8594,0.543993,133.649,133.649,100,0,0,0,0,0
18,0,1.27174,174.066,25.9767,0.588726,149.197,149.197,100,0,0,0,0,0
19,0,2.93813,169.411,26.055,0.612335,160.458,160.458,100,0,0,0,0,0
20,0,3.17447,142.457,26.1332,0.599549,150.211,150.211,100,0,0,0,0,0
21,0,3.21014,172.652,26.2311,0.61266,160.567,160.567,100,0,0,0,0,0
22,0,2.16284,181.061,26.368,0.630119,165.707,165.707,100,0,0,0,0,0
23,0,3.20142,145.917,26.4463,0.668491,157.931,157.931,100,0,0,0,0,0
24,0,3.22661,179.255,26.5638,0.659387,168.429,168.429,100,0,0,0,0,0
25,0,3.00807,185.041,26.6616,0.696347,143.443,143.443,100,0,0,0,0,0
26,0,3.16038,163.743,26.7203,0.707989,151.926,151.926,100,0,0,0,0,0
27,0,3.23769,138.713,26.8182,0.681015,138.338,138.338,100,0,0,0,0,0
28,0,3.14511,188.262,26.8965,0.71163,156.049,156.049,100,0,0,0,0,0
29,0,2.24758,187.938,26.9357,0.719209,150.741,150.741,100,0,0,0,0,0
30,0,3.21848,162.85,27.0139,0.746302,160.126,160.126,100,0,0,0,0,0
31,0,1.3162,195.214,27.0727,0.746389,173.323,173.323,100,0,0,0,0,0
32,0,2.3037,196.659,27.1705,0.766941,182.176,182.176,100,0,0,0,0,0
33,0,3.18822,197.975,27.288,0.757544,160.203,160.203,100,0,0,0,0,0
34,0,1.41987,201.149,27.4249,0.765732,174.465,174.465,100,0,0,0,0,0
35,0,2.54504,205.056,27.5032,0.762258,167.59,167.59,100,0,0,0,0,0
36,0,0.904435,207.616,27.6206,0.756175,185.076,185.076,100,0,0,0,0,0
37,0,3.25283,209.557,27.7184,0.764286,199.672,199.672,100,0,0,0,0,0
38,0,3.19581,194.714,27.777,0.794026,173.523,173.523,100,0,0,0,0,0
